Date,Sales,Product Category,Transaction ID,Customer ID,Gender,Age,Quantity,Price per Unit,Total Amount
2024-01-01,,Electronics,12017.0,CUST312,Male,47.0,2.0,277.0,554.0
2024-01-01,,Groceries,56391.0,CUST417,Male,22.0,3.0,267.0,801.0
2024-01-01,,Beauty,41752.0,CUST262,Female,43.0,4.0,126.0,504.0
2024-01-01,,Groceries,51416.0,CUST717,Male,48.0,3.0,400.0,1200.0
2024-01-01,,Beauty,22498.0,CUST257,Male,29.0,2.0,182.0,364.0
2024-01-01,,Beauty,11695.0,CUST793,Male,20.0,2.0,492.0,984.0
2024-01-01,,Beauty,39182.0,CUST504,Female,38.0,2.0,108.0,216.0
2024-01-01,,Groceries,37960.0,CUST389,Female,53.0,2.0,366.0,732.0
2024-01-01,,Clothing,42825.0,CUST264,Male,60.0,1.0,220.0,220.0
2024-01-01,,Clothing,42273.0,CUST486,Female,53.0,4.0,111.0,444.0
2024-01-01,,Beauty,77640.0,CUST251,Female,46.0,4.0,332.0,1328.0
2024-01-01,,Beauty,87538.0,CUST946,Male,53.0,4.0,488.0,1952.0
2024-02-01,,Electronics,68799.0,CUST137,Male,28.0,2.0,95.0,190.0
2024-02-01,,Electronics,80982.0,CUST428,Female,48.0,2.0,310.0,620.0
2024-02-01,,Electronics,58266.0,CUST622,Female,19.0,2.0,354.0,708.0
2024-02-01,,Groceries,83676.0,CUST954,Female,49.0,4.0,62.0,248.0
2024-02-01,,Groceries,48826.0,CUST208,Female,60.0,2.0,409.0,818.0
2024-02-01,,Beauty,14830.0,CUST744,Male,44.0,3.0,102.0,306.0
2024-02-01,,Groceries,96582.0,CUST878,Female,35.0,3.0,217.0,651.0
2024-02-01,,Furniture,61138.0,CUST727,Female,49.0,2.0,401.0,802.0
2024-02-01,,Groceries,63098.0,CUST444,Female,34.0,3.0,111.0,333.0
2024-02-01,,Furniture,35064.0,CUST460,Female,37.0,2.0,148.0,296.0
2024-02-01,,Electronics,73829.0,CUST179,Male,47.0,1.0,117.0,117.0
2024-02-01,,Clothing,99407.0,CUST183,Male,48.0,3.0,147.0,441.0
2024-02-01,,Clothing,90764.0,CUST368,Male,50.0,1.0,399.0,399.0
2024-02-01,,Clothing,49153.0,CUST101,Female,52.0,2.0,371.0,742.0
2024-03-01,,Groceries,99336.0,CUST448,Female,26.0,4.0,283.0,1132.0
2024-03-01,,Furniture,36230.0,CUST397,Male,48.0,4.0,95.0,380.0
2024-03-01,,Electronics,87340.0,CUST276,Male,20.0,4.0,491.0,1964.0
2024-03-01,,Beauty,40382.0,CUST886,Female,57.0,3.0,393.0,1179.0
2024-03-01,,Beauty,85501.0,CUST134,Male,52.0,3.0,348.0,1044.0
2024-03-01,,Furniture,93792.0,CUST660,Male,35.0,3.0,414.0,1242.0
2024-03-01,,Clothing,37846.0,CUST674,Male,57.0,3.0,165.0,495.0
2024-03-01,,Beauty,26670.0,CUST314,Female,35.0,3.0,273.0,819.0
2024-03-01,,Electronics,41558.0,CUST695,Female,50.0,1.0,45.0,45.0
2024-03-01,,Furniture,97310.0,CUST174,Female,33.0,3.0,450.0,1350.0
2024-03-01,,Groceries,68044.0,CUST324,Female,49.0,2.0,461.0,922.0
2024-03-01,,Groceries,77445.0,CUST424,Female,38.0,1.0,100.0,100.0
2024-03-01,,Beauty,78892.0,CUST463,Male,44.0,2.0,462.0,924.0
2024-04-01,,Electronics,62673.0,CUST119,Female,45.0,3.0,497.0,1491.0
2024-04-01,,Groceries,94987.0,CUST732,Female,54.0,1.0,268.0,268.0
2024-04-01,,Groceries,81432.0,CUST767,Male,24.0,4.0,60.0,240.0
2024-04-01,,Furniture,28433.0,CUST411,Female,31.0,4.0,375.0,1500.0
2024-04-01,,Furniture,10638.0,CUST550,Female,35.0,1.0,328.0,328.0
2024-04-01,,Clothing,74544.0,CUST420,Male,32.0,1.0,283.0,283.0
2024-04-01,,Electronics,19926.0,CUST204,Male,56.0,4.0,205.0,820.0
2024-04-01,,Clothing,86128.0,CUST913,Male,39.0,1.0,241.0,241.0
2024-04-01,,Groceries,60792.0,CUST556,Female,50.0,2.0,343.0,686.0
2024-04-01,,Beauty,62322.0,CUST525,Male,59.0,3.0,448.0,1344.0
2024-04-01,,Groceries,80231.0,CUST289,Female,60.0,1.0,205.0,205.0
2024-04-01,,Electronics,34566.0,CUST625,Male,26.0,4.0,418.0,1672.0
2024-04-01,,Electronics,54796.0,CUST412,Male,19.0,2.0,58.0,116.0
2024-04-01,,Beauty,67095.0,CUST202,Male,27.0,4.0,475.0,1900.0
2024-04-01,,Groceries,96155.0,CUST837,Male,38.0,2.0,180.0,360.0
2024-05-01,,Clothing,74073.0,CUST951,Female,49.0,3.0,367.0,1101.0
2024-05-01,,Beauty,11620.0,CUST625,Female,40.0,2.0,101.0,202.0
2024-05-01,,Groceries,78912.0,CUST796,Male,36.0,2.0,105.0,210.0
2024-05-01,,Groceries,86035.0,CUST451,Male,23.0,3.0,367.0,1101.0
2024-05-01,,Beauty,59240.0,CUST785,Male,63.0,4.0,143.0,572.0
2024-05-01,,Groceries,90293.0,CUST574,Female,36.0,2.0,104.0,208.0
2024-05-01,,Clothing,56248.0,CUST179,Female,55.0,3.0,331.0,993.0
2024-05-01,,Clothing,24472.0,CUST222,Female,34.0,2.0,297.0,594.0
2024-05-01,,Furniture,48730.0,CUST585,Male,51.0,2.0,280.0,560.0
2024-05-01,,Furniture,31701.0,CUST187,Male,60.0,1.0,120.0,120.0
2024-05-01,,Clothing,76690.0,CUST719,Female,57.0,4.0,25.0,100.0
2024-05-01,,Beauty,11409.0,CUST229,Male,19.0,1.0,172.0,172.0
2024-05-01,,Beauty,38195.0,CUST543,Female,33.0,3.0,499.0,1497.0
2024-05-01,,Furniture,97737.0,CUST205,Male,52.0,1.0,184.0,184.0
2024-05-01,,Clothing,87290.0,CUST164,Male,37.0,3.0,473.0,1419.0
2024-05-01,,Beauty,92280.0,CUST655,Male,47.0,1.0,52.0,52.0
2024-06-01,,Furniture,54298.0,CUST618,Male,24.0,2.0,80.0,160.0
2024-06-01,,Clothing,62914.0,CUST220,Female,54.0,4.0,125.0,500.0
2024-06-01,,Beauty,29931.0,CUST603,Female,43.0,1.0,446.0,446.0
2024-06-01,,Furniture,36264.0,CUST161,Male,59.0,2.0,13.0,26.0
2024-06-01,,Groceries,16256.0,CUST327,Male,55.0,4.0,294.0,1176.0
2024-06-01,,Furniture,71340.0,CUST563,Male,38.0,4.0,286.0,1144.0
2024-07-01,,Clothing,25926.0,CUST579,Female,25.0,3.0,338.0,1014.0
2024-07-01,,Electronics,35579.0,CUST498,Female,19.0,3.0,177.0,531.0
2024-07-01,,Clothing,17266.0,CUST426,Female,48.0,1.0,330.0,330.0
2024-07-01,,Beauty,89348.0,CUST237,Female,62.0,4.0,340.0,1360.0
2024-07-01,,Clothing,33504.0,CUST377,Male,23.0,3.0,215.0,645.0
2024-07-01,,Groceries,51327.0,CUST980,Female,25.0,2.0,86.0,172.0
2024-07-01,,Groceries,98721.0,CUST192,Male,26.0,1.0,219.0,219.0
2024-07-01,,Electronics,46187.0,CUST788,Male,30.0,3.0,426.0,1278.0
2024-07-01,,Electronics,93092.0,CUST693,Female,29.0,1.0,226.0,226.0
2024-07-01,,Electronics,84127.0,CUST735,Female,59.0,3.0,496.0,1488.0
2024-07-01,,Beauty,94328.0,CUST258,Male,58.0,1.0,214.0,214.0
